Date,Close,Close_10d_ahead,RandomForest_Predicted_Close_10d_ahead,Actual_vs_Predicted_Diff %,Predicted_Higher,Actual_Higher,Prediction_Correct,ticker,LinearRegression_Predicted_Close_10d_ahead,GradientBoosting_Predicted_Close_10d_ahead,XGBoost_Predicted_Close_10d_ahead
2024-10-15,245.7899932861328,231.99000549316406,,-0.03144056093618195,False,False,True,UNP,239.52066970448297,,
2024-10-18,244.10000610351562,232.69000244140625,,0.004055903540281661,False,False,True,UNP,231.75004660691283,,
2024-10-21,240.35000610351562,229.91000366210938,,-0.030371724862639365,False,False,True,UNP,237.11148855424992,,
2024-10-22,241.4499969482422,233.8699951171875,,-0.004998627201263363,False,False,True,UNP,235.0448969325125,,
2024-10-23,241.35000610351562,248.49000549316406,,0.04110950894699321,False,True,False,UNP,238.67806734806763,,
2024-10-24,230.75,242.55999755859375,,0.03333014750101855,True,True,True,UNP,234.7362052149501,,
2024-10-25,230.3000030517578,241.49000549316406,,0.03655857279480939,True,True,True,UNP,232.97285057616122,,
2024-10-28,231.97999572753906,241.9499969482422,,0.021050407306491957,True,True,True,UNP,236.9618534176984,,
2024-10-29,231.99000549316406,238.91000366210938,,-0.008753311777844055,True,True,True,UNP,241.01972445487294,,
2024-10-30,232.1699981689453,240.41000366210938,,0.003629495410389481,True,True,True,UNP,239.54059218218217,,
2024-10-31,232.07000732421875,235.5800018310547,,-0.0013253297051302416,True,True,True,UNP,235.8926373505569,,
2024-11-01,232.69000244140625,235.57000732421875,,-0.011449868358493893,True,True,True,UNP,238.2984937071935,,
2024-11-05,233.8699951171875,233.2899932861328,,0.0014552605162601383,False,False,True,UNP,232.9509889097487,,
2024-11-06,248.49000549316406,233.55999755859375,,0.0008947857137692597,False,False,True,UNP,233.35119824011755,,
2024-11-07,242.55999755859375,239.02000427246094,,-0.00990948973706765,False,False,True,UNP,241.41227675133038,,
2024-11-08,241.49000549316406,242.38999938964844,,0.03864317851036599,False,True,False,UNP,233.37177233213717,,
2024-11-11,241.9499969482422,249.32000732421875,,0.07027650062564225,False,True,False,UNP,232.94915582886844,,
2024-11-12,238.91000366210938,245.6300048828125,,0.041707458761562205,False,True,False,UNP,235.79557083601057,,
2024-11-13,240.41000366210938,245.22999572753906,,0.04328329723122626,False,True,False,UNP,235.05599713745627,,
2024-11-14,235.5800018310547,244.66000366210938,,0.03404955581204249,True,True,True,UNP,236.60375103587475,,
2024-11-18,234.41000366210938,236.99000549316406,,-0.002670058385070887,True,True,True,UNP,237.62447671972765,,
2024-11-19,233.2899932861328,235.0,,-0.014297207802756128,True,True,True,UNP,238.4085769668545,,
2024-11-20,233.55999755859375,234.6300048828125,,-0.026233231759715144,True,True,True,UNP,240.9509263771832,,
2024-11-21,239.02000427246094,233.57000732421875,,0.004879584039665871,False,False,True,UNP,232.43581722026406,,
2024-11-22,242.38999938964844,233.5399932861328,,-0.0252481445215489,False,False,True,UNP,239.58917541275272,,
2024-11-25,249.32000732421875,237.08999633789062,,0.015524414981552225,False,False,True,UNP,233.4655797932712,,
2024-11-26,245.6300048828125,233.77999877929688,,-0.018616711463792512,False,False,True,UNP,238.21477450262464,,
2024-11-27,245.22999572753906,233.7100067138672,,-0.002300397694883619,False,False,True,UNP,234.24887227968847,,
2024-11-29,244.66000366210938,234.97999572753906,,0.004700510875891003,False,False,True,UNP,233.8806372484922,,
2024-12-02,240.77999877929688,232.88999938964844,,-0.011893527980144172,False,False,True,UNP,235.69322333612703,,
2024-12-04,235.0,224.5399932861328,,-0.03902643693204475,False,False,True,UNP,233.65886629521614,,
2024-12-06,233.57000732421875,226.32000732421875,,-0.05292216233600311,True,False,False,UNP,238.96663856314657,,
2024-12-10,237.08999633789062,229.75,,-0.016503196012951055,False,False,True,UNP,233.60523294900858,,
2024-12-11,233.77999877929688,230.22999572753906,,-0.03195608108450653,True,False,False,UNP,237.83011413931237,,
2024-12-12,233.7100067138672,229.92999267578125,,-0.023777125131826508,True,False,False,UNP,235.53022429107736,,
2024-12-16,232.88999938964844,228.0399932861328,,-0.036347301866237344,True,False,False,UNP,236.64126477076397,,
2024-12-17,229.8800048828125,229.1199951171875,,-0.025205090929261476,True,False,False,UNP,235.04430827978484,,
2024-12-18,224.5399932861328,231.5,,-0.006102762154607088,True,True,True,UNP,232.92146429730929,,
2024-12-20,226.32000732421875,230.5399932861328,,-0.00883690826736921,True,True,True,UNP,232.5954176553637,,
2024-10-01,495.70001220703125,493.0,523.9277993774414,-0.059030651578693506,True,False,False,WSO,,,
2024-10-02,492.04998779296875,494.6099853515625,536.8007015991211,-0.07859661159509126,True,True,True,WSO,,,
2024-10-04,480.69000244140625,502.7300109863281,487.8512042236328,0.030498657446943227,True,True,True,WSO,,,
2024-10-08,495.3699951171875,484.7699890136719,518.0771127319335,-0.06428989604004304,True,False,False,WSO,,,
2024-10-09,500.3599853515625,466.4200134277344,497.05869232177736,-0.06163996197497063,False,False,True,WSO,,,
2024-10-10,484.2900085449219,478.260009765625,503.3121063232422,-0.049774476399198644,True,False,False,WSO,,,
2024-10-11,491.5799865722656,475.8999938964844,483.04481048583983,-0.014791208671032608,False,False,True,WSO,,,
2024-10-14,497.0899963378906,479.9100036621094,523.9129983520507,-0.08398912572956042,True,False,False,WSO,,,
2024-10-15,493.0,473.4700012207031,543.4091165161133,-0.1287043466326099,True,False,False,WSO,,,
2024-10-18,502.7300109863281,474.0,502.2038006591797,-0.05616007011926259,False,False,True,WSO,,,
2024-10-21,492.2200012207031,478.010009765625,509.3124990844727,-0.061460281016303825,True,False,False,WSO,,,
2024-10-22,484.7699890136719,487.8999938964844,482.705993347168,0.010760174145136026,False,True,False,WSO,,,
2024-10-23,466.4200134277344,516.8300170898438,487.7554058837891,0.0596089983941293,True,True,True,WSO,,,
2024-10-24,478.260009765625,524.969970703125,483.44389587402344,0.08589636808636526,True,True,True,WSO,,,
2024-10-25,475.8999938964844,528.5,528.1111123657226,0.0007363746476291602,True,True,True,WSO,,,
2024-10-28,479.9100036621094,536.8599853515625,525.4214093017578,0.021770289233180796,True,True,True,WSO,,,
2024-10-29,473.4700012207031,533.3599853515625,502.31869537353515,0.061796007721640484,True,True,True,WSO,,,
2024-10-30,474.4200134277344,543.0599975585938,510.43279357910154,0.06392066573684198,True,True,True,WSO,,,
2024-10-31,473.010009765625,525.7899780273438,533.4814840698242,-0.014417568879436047,True,True,True,WSO,,,
2024-11-01,474.0,520.739990234375,494.7876901245117,0.05245138597391639,True,True,True,WSO,,,
2024-11-05,487.8999938964844,533.1400146484375,509.07678588867185,0.047268367811664366,True,True,True,WSO,,,
2024-11-06,516.8300170898438,533.4000244140625,490.9870980834961,0.08638297522708784,False,True,False,WSO,,,
2024-11-07,524.969970703125,546.239990234375,547.1703848266602,-0.0017003745416155033,True,True,True,WSO,,,
2024-11-08,528.5,554.7899780273438,498.26540313720704,0.11344270449893461,False,True,False,WSO,,,
2024-11-11,536.8599853515625,568.780029296875,519.9983770751953,0.09381116244258109,False,True,False,WSO,,,
2024-11-12,533.3599853515625,550.5,521.8112045288086,0.05497926304035027,False,True,False,WSO,,,
2024-11-13,543.0599975585938,554.6699829101562,547.0928811645508,0.013849753865333964,True,True,True,WSO,,,
2024-11-14,525.7899780273438,551.5999755859375,515.3144995117187,0.0704142346248761,False,True,False,WSO,,,
2024-11-18,527.1699829101562,542.989990234375,494.90669830322264,0.09715627631633382,False,True,False,WSO,,,
2024-11-19,533.1400146484375,537.5,522.2427893066406,0.02921478478164487,False,True,False,WSO,,,
2024-11-20,533.4000244140625,523.7000122070312,500.8147918701172,0.04569597525555754,False,False,True,WSO,,,
2024-11-21,546.239990234375,526.8099975585938,500.9864083862305,0.05154548854038934,False,False,True,WSO,,,
2024-11-22,554.7899780273438,522.3699951171875,517.0431958007813,0.01030242610224513,False,False,True,WSO,,,
2024-11-25,568.780029296875,517.469970703125,531.6795922851562,-0.026725911222129733,False,False,True,WSO,,,
2024-11-26,550.5,514.0999755859375,516.7096862792969,-0.0050506324202112,False,False,True,WSO,,,
2024-11-27,554.6699829101562,511.4599914550781,488.6524896240234,0.04667427735526968,False,False,True,WSO,,,
2024-11-29,551.5999755859375,509.7200012207031,492.743703918457,0.03445259100673456,False,False,True,WSO,,,
2024-12-02,543.1699829101562,509.75,535.8349002075196,-0.04868085336997898,False,False,True,WSO,,,
2024-12-04,537.5,487.8900146484375,521.1499789428711,-0.06382033126414004,False,False,True,WSO,,,
2024-12-06,526.8099975585938,484.3299865722656,478.75079040527345,0.011653654215942411,False,False,True,WSO,,,
2024-12-10,517.469970703125,491.3500061035156,525.2918887329101,-0.06461528029924064,True,False,False,WSO,,,
2024-12-11,514.0999755859375,487.5799865722656,477.04930725097654,0.02207461400997041,False,False,True,WSO,,,
2024-12-12,511.4599914550781,479.95001220703125,513.4569927978515,-0.06525761857529515,True,False,False,WSO,,,
2024-12-16,509.75,473.8900146484375,490.4644970703125,-0.033793439730865814,False,False,True,WSO,,,
2024-12-17,508.4700012207031,468.79998779296875,526.6276928710937,-0.10980756587800604,True,False,False,WSO,,,
2024-12-18,487.8900146484375,475.739990234375,495.3297903442383,-0.03954900450515809,True,False,False,WSO,,,
2024-12-20,484.3299865722656,465.3599853515625,515.6355969238281,-0.09750221255514387,True,False,False,WSO,,,
2024-10-01,248.13999938964844,254.3300018310547,,-0.014008691776010464,True,True,True,NSC,257.9434521478338,,
2024-10-02,247.02999877929688,255.64999389648438,,-0.01958307089599613,True,True,True,NSC,260.75640506342654,,
2024-10-04,247.9199981689453,252.3699951171875,,-0.01775829628272271,True,True,True,NSC,256.93268180540235,,
2024-10-08,243.1999969482422,260.42999267578125,,0.02480492830794166,True,True,True,NSC,254.12640540846925,,
2024-10-09,245.16000366210938,256.9800109863281,,0.011858785968210495,True,True,True,NSC,253.96825579809874,,
2024-10-10,245.91000366210938,253.4199981689453,,-0.00032267908032837024,True,True,True,NSC,253.50179789595197,,
2024-10-11,250.1699981689453,251.08999633789062,,-0.01569988311512698,True,True,True,NSC,255.09495735156855,,
2024-10-14,253.83999633789062,253.58999633789062,,-0.028429767608295662,True,False,False,NSC,261.01046314853716,,
2024-10-15,254.3300018310547,252.41000366210938,,-0.03867938304535061,True,False,False,NSC,262.56589030797505,,
2024-10-18,252.3699951171875,250.08999633789062,,-0.019761368118825635,True,False,False,NSC,255.1317487436129,,
2024-10-21,248.16000366210938,247.58999633789062,,-0.0481412577820791,True,False,False,NSC,260.11212100755887,,
2024-10-22,260.42999267578125,252.11000061035156,,0.018297628139095832,False,False,True,NSC,247.57987610270092,,
2024-10-23,256.9800109863281,277.0,,0.08363295774727514,False,True,False,NSC,255.62160879256123,,
2024-10-24,253.4199981689453,270.7099914550781,,0.053865433059904724,True,True,True,NSC,256.87339480247493,,
2024-10-25,251.08999633789062,271.6700134277344,,0.038680916111970214,True,True,True,NSC,261.55290735932635,,
2024-10-28,253.58999633789062,271.1099853515625,,0.05001312786937246,True,True,True,NSC,258.1967578840501,,
2024-10-29,252.41000366210938,267.45001220703125,,0.023303421292089677,True,True,True,NSC,261.3594429981788,,
2024-10-30,252.74000549316406,269.260009765625,,0.06204847144762328,True,True,True,NSC,253.528927355463,,
2024-10-31,250.42999267578125,264.760009765625,,0.019566215643254677,True,True,True,NSC,259.67907302478164,,
